mean_phred_score	n_sequences	sample	read_pair	stage
27	306991	AP-DNA-16	1	raw_concat
28	448507	AP-DNA-16	1	raw_concat
29	637153	AP-DNA-16	1	raw_concat
30	902877	AP-DNA-16	1	raw_concat
31	1280305	AP-DNA-16	1	raw_concat
32	1805446	AP-DNA-16	1	raw_concat
33	2325971	AP-DNA-16	1	raw_concat
34	2005641	AP-DNA-16	1	raw_concat
35	373560	AP-DNA-16	1	raw_concat
4	12	AP-DNA-16	2	raw_concat
5	36	AP-DNA-16	2	raw_concat
6	58	AP-DNA-16	2	raw_concat
7	75	AP-DNA-16	2	raw_concat
8	75	AP-DNA-16	2	raw_concat
9	99	AP-DNA-16	2	raw_concat
10	118	AP-DNA-16	2	raw_concat
11	99	AP-DNA-16	2	raw_concat
12	99	AP-DNA-16	2	raw_concat
13	96	AP-DNA-16	2	raw_concat
14	635	AP-DNA-16	2	raw_concat
15	4454	AP-DNA-16	2	raw_concat
16	7570	AP-DNA-16	2	raw_concat
17	8915	AP-DNA-16	2	raw_concat
18	11222	AP-DNA-16	2	raw_concat
19	16256	AP-DNA-16	2	raw_concat
20	25601	AP-DNA-16	2	raw_concat
21	42270	AP-DNA-16	2	raw_concat
22	68655	AP-DNA-16	2	raw_concat
23	107812	AP-DNA-16	2	raw_concat
24	155330	AP-DNA-16	2	raw_concat
25	222787	AP-DNA-16	2	raw_concat
26	317274	AP-DNA-16	2	raw_concat
27	444248	AP-DNA-16	2	raw_concat
28	613114	AP-DNA-16	2	raw_concat
29	845808	AP-DNA-16	2	raw_concat
30	1173808	AP-DNA-16	2	raw_concat
31	1610949	AP-DNA-16	2	raw_concat
32	2048805	AP-DNA-16	2	raw_concat
33	1973257	AP-DNA-16	2	raw_concat
34	820811	AP-DNA-16	2	raw_concat
35	35257	AP-DNA-16	2	raw_concat
15	5	AP-DNA-1	1	raw_concat
16	125	AP-DNA-1	1	raw_concat
17	2161	AP-DNA-1	1	raw_concat
18	13550	AP-DNA-1	1	raw_concat
19	44743	AP-DNA-1	1	raw_concat
20	100005	AP-DNA-1	1	raw_concat
21	181388	AP-DNA-1	1	raw_concat
22	297113	AP-DNA-1	1	raw_concat
23	468935	AP-DNA-1	1	raw_concat
24	741529	AP-DNA-1	1	raw_concat
25	1158493	AP-DNA-1	1	raw_concat
26	1736871	AP-DNA-1	1	raw_concat
27	2497313	AP-DNA-1	1	raw_concat
28	3475398	AP-DNA-1	1	raw_concat
29	4783437	AP-DNA-1	1	raw_concat
30	6703088	AP-DNA-1	1	raw_concat
31	8828051	AP-DNA-1	1	raw_concat
32	10811021	AP-DNA-1	1	raw_concat
33	13340438	AP-DNA-1	1	raw_concat
34	12915507	AP-DNA-1	1	raw_concat
35	3602565	AP-DNA-1	1	raw_concat
3	2	AP-DNA-1	2	raw_concat
4	72	AP-DNA-1	2	raw_concat
5	309	AP-DNA-1	2	raw_concat
6	409	AP-DNA-1	2	raw_concat
7	536	AP-DNA-1	2	raw_concat
8	641	AP-DNA-1	2	raw_concat
9	739	AP-DNA-1	2	raw_concat
10	785	AP-DNA-1	2	raw_concat
11	736	AP-DNA-1	2	raw_concat
12	699	AP-DNA-1	2	raw_concat
13	735	AP-DNA-1	2	raw_concat
14	7870	AP-DNA-1	2	raw_concat
15	44318	AP-DNA-1	2	raw_concat
16	69559	AP-DNA-1	2	raw_concat
17	82286	AP-DNA-1	2	raw_concat
18	109191	AP-DNA-1	2	raw_concat
19	167553	AP-DNA-1	2	raw_concat
20	276954	AP-DNA-1	2	raw_concat
21	454215	AP-DNA-1	2	raw_concat
22	712396	AP-DNA-1	2	raw_concat
23	1058892	AP-DNA-1	2	raw_concat
